"","errors","mistakes","class"
"1",0.0375,16,"pro/bb"
"2",0.055,13,"pro/bb"
"3",0.153333333333333,10,"pro/bb"
"4",0.186666666666667,9,"pro/bb"
"5",0,12,"bb/kb"
"6",0,9,"bb/kb"
"7",0,6,"bb/kb"
"8",0,3,"bb/kb"
"9",0.0375,9,"kb/gt"
"10",0.04,6,"kb/gt"
"11",0.085,3,"kb/gt"
"12",0.2,1,"kb/gt"
"13",0.153846153846154,9,"gt/havo"
"14",0.115384615384615,6,"gt/havo"
"15",0.19,3,"gt/havo"
"16",0.24,1,"gt/havo"
"17",0.183962264150943,9,"havo/vwo"
"18",0.183962264150943,4,"havo/vwo"
"19",0.13,3,"havo/vwo"
"20",0.245,0,"havo/vwo"
"21",0.15,6,"vwo"
"22",0.005,3,"vwo"
"23",0.005,1,"vwo"
"24",0.005,0,"vwo"
