Re-estimates,True theta,Mistakes
0,-2.54,0
0,-2.54,1
0,-2.54,2
0,-2.54,3
0,-2.54,4
0,-2.54,5
-1.097771,-2.54,6
0,-1.8,0
0,-1.8,1
0,-1.8,2
0,-1.8,3
0,-1.8,4
-0.805334,-1.8,5
-1.075197,-1.8,6
0,-1.5,0
0,-1.5,1
0,-1.5,2
0,-1.5,3
0,-1.5,4
-0.7875042,-1.5,5
-1.061197,-1.5,6
0,-1.3,0
0,-1.3,1
0,-1.3,2
0,-1.3,3
0,-1.3,4
-0.799533,-1.3,5
-1.026014,-1.3,6
0,-1.2,0
0,-1.2,1
0,-1.2,2
0,-1.2,3
0,-1.2,4
-0.7528137,-1.2,5
-1.000861,-1.2,6
0,-1,0
0,-1,1
0,-1,2
0,-1,3
-0.6200134,-1,4
-0.7171452,-1,5
-0.9265702,-1,6
0,-0.9,0
0,-0.9,1
0,-0.9,2
0,-0.9,3
-0.4958055,-0.9,4
-0.6858482,-0.9,5
-0.8748593,-0.9,6
0,-0.8,0
0,-0.8,1
0,-0.8,2
0,-0.8,3
-0.6022569,-0.8,4
-0.6557785,-0.8,5
-0.8010665,-0.8,6
0,-0.007,0
0.06738997,-0.007,1
0.02938897,-0.007,2
-2.10555e-4,-0.007,3
-0.02094283,-0.007,4
-0.05599033,-0.007,5
-0.0868597,-0.007,6
0,0.08,0
0.1285401,0.08,1
0.1043499,0.08,2
0.07667284,0.08,3
0.05197364,0.08,4
0.03176222,0.08,5
-0.03640953,0.08,6
0,0.13,0
0.1683823,0.13,1
0.145977,0.13,2
0.1108515,0.13,3
0.07896659,0.13,4
0.04963115,0.13,5
0.02229565,0.13,6
0.4408603,0.4,0
0.4042815,0.4,1
0.3526681,0.4,2
0.3147573,0.4,3
0.2475633,0.4,4
0,0.4,5
0,0.4,6
0.4715094,0.43,0
0.4129982,0.43,1
0.3730442,0.43,2
0.3465735,0.43,3
0.4329932,0.43,4
0,0.43,5
0,0.43,6
1.197479,1.2,0
0.9607391,1.2,1
0.9077544,1.2,2
0,1.2,3
0,1.2,4
0,1.2,5
0,1.2,6
1.308786,1.4,0
1.019476,1.4,1
0,1.4,2
0,1.4,3
0,1.4,4
0,1.4,5
0,1.4,6
1.428722,1.7,0
1.107104,1.7,1
0,1.7,2
0,1.7,3
0,1.7,4
0,1.7,5
0,1.7,6
1.517053,2.2,0
1.140868,2.2,1
0,2.2,2
0,2.2,3
0,2.2,4
0,2.2,5
0,2.2,6
1.54481,3.4,0
0,3.4,1
0,3.4,2
0,3.4,3
0,3.4,4
0,3.4,5
0,3.4,6
