Re-estimates,True theta,Mistakes
0,-1.97,0
0,-1.97,1
0,-1.97,2
0,-1.97,3
-1.106521,-1.97,4
-1.383891,-1.97,5
0,-1.43,0
0,-1.43,1
0,-1.43,2
-0.9658731,-1.43,3
-1.052734,-1.43,4
-1.283875,-1.43,5
0,-1.17,0
0,-1.17,1
0,-1.17,2
-0.90781,-1.17,3
-0.9838026,-1.17,4
-1.150232,-1.17,5
-0.07594316,-0.16,0
-0.1317397,-0.16,1
-0.1474175,-0.16,2
-0.1679615,-0.16,3
-0.1904007,-0.16,4
-0.1844534,-0.16,5
0.08405695,0.042,0
0.06533081,0.042,1
0.03807081,0.042,2
0.02298288,0.042,3
-0.002579274,0.042,4
-0.003964214,0.042,5
0.2271753,0.21,0
0.2020615,0.21,1
0.1777914,0.21,2
0.1407536,0.21,3
0.1065037,0.21,4
0,0.21,5
0.2563725,0.23,0
0.2255479,0.23,1
0.2036752,0.23,2
0.1480875,0.23,3
0.1592695,0.23,4
0,0.23,5
0.301739,0.27,0
0.2628649,0.27,1
0.2376078,0.27,2
0.1929994,0.27,3
0.1670854,0.27,4
0,0.27,5
0.5094521,0.5,0
0.4663315,0.5,1
0.4244001,0.5,2
0.3497867,0.5,3
0,0.5,4
0,0.5,5
0.9233876,0.93,0
0.8655755,0.93,1
0.765423,0.93,2
0,0.93,3
0,0.93,4
0,0.93,5
1.74426,1.85,0
1.350973,1.85,1
0,1.85,2
0,1.85,3
0,1.85,4
0,1.85,5
