V1,V2,V3,V4,V5,V6,avg.theta,true.theta
0,0,0,0,-1.106521,-1.383891,-1.245206,-1.97
0,0,0,-0.9658731,-1.052734,-1.283875,-1.1008273666666668,-1.43
0,0,0,-0.90781,-0.9838026,-1.150232,-1.0139482,-1.17
-0.07594316,-0.1317397,-0.1474175,-0.1679615,-0.1904007,-0.1844534,-0.14965266,-0.16
0.08405695,0.06533081,0.03807081,0.02298288,-0.002579274,-0.003964214,0.03398299366666667,0.042
0.2271753,0.2020615,0.1777914,0.1407536,0.1065037,0,0.1708571,0.21
0.2563725,0.2255479,0.2036752,0.1480875,0.1592695,0,0.19859052,0.23
0.301739,0.2628649,0.2376078,0.1929994,0.1670854,0,0.2324593,0.27
0.5094521,0.4663315,0.4244001,0.3497867,0,0,0.4374926,0.5
0.9233876,0.8655755,0.765423,0,0,0,0.8514620333333334,0.93
1.74426,1.350973,0,0,0,0,1.5476165,1.85
