Re-estimates,True theta,Mistakes
0,-1.7,0
0,-1.7,1
0,-1.7,2
-1.080217,-1.7,3
-1.208618,-1.7,4
-1.486848,-1.7,5
0,-1.3,0
0,-1.3,1
-0.8361318,-1.3,2
-1.021674,-1.3,3
-1.110697,-1.3,4
-1.322772,-1.3,5
0.02232902,-0.03,0
-0.01262994,-0.03,1
-0.03228247,-0.03,2
-0.05830431,-0.03,3
-0.06439781,-0.03,4
-0.1245654,-0.03,5
0.07396241,0.012,0
0.039990181,0.012,1
0.003881742,0.012,2
-0.02454378,0.012,3
-0.02944609,0.012,4
-0.05069841,0.012,5
0.1273112,0.07,0
0.09075322,0.07,1
0.06889079,0.07,2
0.02958782,0.07,3
0.004247461,0.07,4
-0.1126466,0.07,5
0.2039156,0.18,0
0.17475,0.18,1
0.1488729,0.18,2
0.1039887,0.18,3
0.06937735,0.18,4
0,0.18,5
0.3164847,0.304,0
0.2892954,0.304,1
0.2656929,0.304,2
0.2369992,0.304,3
0.2195473,0.304,4
0,0.304,5
0.3796649,0.36,0
0.3471875,0.36,1
0.3084062,0.36,2
0.2702077,0.36,3
0.262165,0.36,4
0,0.36,5
0.4783319,0.46,0
0.4432322,0.46,1
0.3889314,0.46,2
0.2972278,0.46,3
0.1225794,0.46,4
0,0.46,5
0.6089161,0.6,0
0.566516,0.6,1
0.5489141,0.6,2
0.2598443,0.6,3
0,0.6,4
0,0.6,5
1.391322,1.4,0
1.148818,1.4,1
1.001995,1.4,2
0,1.4,3
0,1.4,4
0,1.4,5
1.536291,1.6,0
1.205486,1.6,1
1.075224,1.6,2
0,1.6,3
0,1.6,4
0,1.6,5
1.621503,1.8,0
1.237984,1.8,1
0,1.8,2
0,1.8,3
0,1.8,4
0,1.8,5
1.730166,2.12,0
1.262784,2.12,1
0,2.12,2
0,2.12,3
0,2.12,4
0,2.12,5
