test_score,ability_lezen,ability_rekenen,ability_taal,ability_schrijven,class
528,0.033,0.072,0.331,0.1,VMBO KB/GL-TL
538,0.328,0.468,0.359,0.1,VMBO GL-TL/HAVO
538,0.354,0.417,0.23,0.424,VMBO GL-TL/HAVO
533,0.328,0.194,0.164,0.316,VMBO GL-TL/HAVO
530,0.148,0.072,0.331,0.245,VMBO KB/GL-TL
530,0.089,0.236,0.331,-0.075,VMBO KB/GL-TL
536,0.189,0.323,0.331,0.564,VMBO GL-TL/HAVO
542,0.41,0.645,0.389,0.245,HAVO/VWO
544,0.381,0.645,0.534,0.564,HAVO/VWO
530,0.211,0.072,0.185,0.316,VMBO KB/GL-TL
540,0.381,0.417,0.359,0.711,HAVO/VWO
542,0.819,1.009,-0.059,0.245,HAVO/VWO
530,0.354,-0.091,0.359,0.316,VMBO KB/GL-TL
516,0.07,-0.22,-0.181,-0.178,VMBO BB/KB
536,0.211,0.581,0.185,0.041,VMBO GL-TL/HAVO
534,0.279,0.417,0.103,0.16,VMBO GL-TL/HAVO
532,0.168,0.279,0.304,0.041,VMBO KB/GL-TL
534,0.148,0.417,0.207,0.16,VMBO GL-TL/HAVO
520,-0.056,-0.176,0.185,-0.136,VMBO BB/KB
521,0.051,-0.176,0.011,0.16,VMBO BB/KB
537,0.279,0.369,0.304,0.424,VMBO GL-TL/HAVO
538,0.279,0.523,0.23,0.245,VMBO GL-TL/HAVO
522,-0.056,-0.091,0.185,0.1,VMBO BB/KB
537,0.233,0.417,0.389,0.245,VMBO GL-TL/HAVO
545,0.279,1.385,0.389,0.245,VWO
534,0.255,0.236,0.143,0.711,VMBO GL-TL/HAVO
512,-0.09,-0.418,-0.077,-0.247,VMBO BB/KB
540,0.255,0.645,0.331,0.245,HAVO/VWO
524,0.128,-0.133,0.185,0.16,VMBO BB/KB
526,0.07,0.032,0.278,-0.016,VMBO KB/GL-TL
546,0.303,0.893,0.628,0.564,VWO
529,0.381,-0.176,0.185,0.711,VMBO KB/GL-TL
540,0.279,0.523,0.578,0.245,HAVO/VWO
520,-0.021,-0.049,-0.146,0.16,VMBO BB/KB
529,0.033,0.417,-0.059,0.1,VMBO KB/GL-TL
521,-0.073,0.072,-0.077,0.041,VMBO BB/KB
538,0.381,0.417,0.389,0.16,VMBO GL-TL/HAVO
535,0.354,0.323,0.207,0.245,VMBO GL-TL/HAVO
524,0.07,-0.009,0.23,-0.136,VMBO BB/KB
539,0.303,0.468,0.304,0.564,VMBO GL-TL/HAVO
525,-0.039,0.153,0.047,0.1,VMBO KB/GL-TL
533,0.108,0.236,0.389,0.316,VMBO GL-TL/HAVO
523,0.051,-0.266,0.331,0.245,VMBO BB/KB
519,0.255,-0.418,-0.025,0.16,VMBO BB/KB
537,0.108,0.717,0.103,0.316,VMBO GL-TL/HAVO
531,0.128,0.113,0.278,0.316,VMBO KB/GL-TL
550,0.44,1.859,0.824,0.95,VWO
546,0.328,1.009,0.578,0.424,VWO
542,0.76,0.323,0.493,0.95,HAVO/VWO
550,0.617,0.893,1.036,0.95,VWO
539,0.279,0.417,0.534,0.245,VMBO GL-TL/HAVO
540,0.211,0.798,0.359,0.041,HAVO/VWO
547,0.539,0.798,0.578,0.564,VWO
516,-0.107,-0.266,-0.007,0.041,VMBO BB/KB
523,0.089,-0.049,0.011,0.16,VMBO BB/KB
522,0.44,-0.133,-0.218,0.1,VMBO BB/KB
548,0.504,0.893,0.684,0.711,VWO
541,0.471,0.523,0.278,0.424,HAVO/VWO
546,0.617,0.717,0.578,0.424,VWO
528,0.211,0.194,-0.042,0.16,VMBO KB/GL-TL
537,0.41,0.236,0.422,0.424,VMBO GL-TL/HAVO
537,0.211,0.369,0.278,0.711,VMBO GL-TL/HAVO
548,0.504,0.798,0.684,0.95,VWO
546,0.661,0.717,0.331,0.95,VWO
545,0.617,0.581,0.534,0.711,VWO
542,0.617,0.468,0.493,0.245,HAVO/VWO
534,0.089,0.523,0.103,0.245,VMBO GL-TL/HAVO
533,0.089,0.279,0.207,0.424,VMBO GL-TL/HAVO
511,-0.176,-0.314,-0.129,-0.247,VMBO BB/KB
541,0.303,0.581,0.456,0.316,HAVO/VWO
526,0.303,0.032,-0.146,0.316,VMBO KB/GL-TL
541,0.539,0.581,0.23,0.316,HAVO/VWO
522,0.233,-0.266,-0.007,0.316,VMBO BB/KB
522,0.07,0.113,-0.255,0.1,VMBO BB/KB
529,0.279,0.072,0.123,0.245,VMBO KB/GL-TL
545,0.577,0.645,0.456,0.711,VWO
516,-0.21,0.153,-0.255,-0.386,VMBO BB/KB
544,0.504,0.798,0.23,0.564,HAVO/VWO
540,0.279,0.581,0.207,0.564,HAVO/VWO
527,0.108,0.153,0.123,-0.136,VMBO KB/GL-TL
538,0.089,0.581,0.389,0.316,VMBO GL-TL/HAVO
541,0.279,0.893,0.123,0.564,HAVO/VWO
538,0.44,0.194,0.684,0.424,VMBO GL-TL/HAVO
518,0.128,-0.266,-0.094,0.1,VMBO BB/KB
526,0.07,0.417,-0.274,0.041,VMBO KB/GL-TL
549,0.471,1.385,0.628,0.564,VWO
527,0.089,0.194,-0.129,0.316,VMBO KB/GL-TL
524,0.279,0.032,-0.111,-0.016,VMBO BB/KB
524,0.233,0.153,-0.129,-0.178,VMBO BB/KB
540,0.108,0.717,0.493,0.316,HAVO/VWO
549,0.471,1.16,0.578,1.29,VWO
538,0.279,0.581,0.23,0.245,VMBO GL-TL/HAVO
530,0.108,0.194,0.185,0.245,VMBO KB/GL-TL
536,0.233,0.369,0.331,0.16,VMBO GL-TL/HAVO
529,0.148,0.194,-0.007,0.245,VMBO KB/GL-TL
540,0.279,0.581,0.456,0.16,HAVO/VWO
539,0.279,0.645,0.253,0.245,VMBO GL-TL/HAVO
535,0.108,0.645,0.103,0.16,VMBO GL-TL/HAVO
528,0.089,0.072,0.185,0.316,VMBO KB/GL-TL
547,0.617,0.893,0.422,0.564,VWO
