module_id,item_id,item_position
TDA1,SN00003D,1
TDA1,SN00038,2
TDA1,SW00090D,3
TDA1,IP00074,4
TDA1,GR00148,5
RDA1,RD516087,1
RDA1,RD516456,2
RDA1,RD516A28,3
RDA1,RD516663,4
RDA1,RD516375,5
LDA1,BL00518,1
LDA1,BL00519,2
LDA1,BL00520,3
LDA1,BL00521,4
LDA1,BL02412,5
LDA1,OP00142,6
TDB1,SN00174,1
TDB1,SN00145,2
TDB1,SW00138,3
TDB1,SW00280,4
TDB1,IP00079,5
TDB1,IP00113,6
TDB1,GR00099,7
TDB1,GR00105,8
RDB1,RD516537,1
RDB1,RD516B02,2
RDB1,RD516620,3
RDB1,RD516A04,4
RDB1,RD516686,5
RDB1,RD516538,6
RDB1,RD516160,7
RDB1,RD516734,8
RDB1,RD516751,9
RDB1,RD517839,10
LDB1,BL00474D,1
LDB1,BL01339,2
LDB1,BL00341,3
LDB1,BL00342,4
LDB1,OP00155,5
LDB1,OP00204,6
LDB1,OP00078,7
TDC1,SN00204,1
TDC1,SN00252,2
TDC1,SW00127,3
TDC1,SW00306,4
TDC1,IP00115,5
TDC1,IP00112,6
TDC1,GR00139,7
TDC1,GR00126,8
RDC1,RD516670,1
RDC1,RD516979,2
RDC1,RD516100,3
RDC1,RD516339,4
RDC1,RD516838,5
RDC1,RD516830,6
RDC1,RD516209,7
RDC1,RD516471,8
RDC1,RD516138,9
RDC1,RD516770,10
LDC1,BL02451D,1
LDC1,BL02452D,2
LDC1,BL22453D,3
LDC1,BL02454D,4
LDC1,OP00089,5
LDC1,OP00147,6
LDC1,OP00258,7
TDD1,SN00135,1
TDD1,SN00142,2
TDD1,SW00706D,3
TDD1,SW00136,4
TDD1,IP00134,5
TDD1,IP00104,6
TDD1,GR00315,7
TDD1,GR00119,8
RDD1,RD516333,1
RDD1,RD516802,2
RDD1,RD516704,3
RDD1,RD516687,4
RDD1,RD516B04,5
RDD1,RD516094,6
RDD1,RD516933,7
RDD1,RD516788,8
RDD1,RD516731,9
RDD1,RD516097,10
RDD1,RD516404,11
RDD1,RD516527,12
RDD1,RD516086,13
LDD1,BL00383,1
LDD1,BL00384,2
LDD1,BL00386,3
LDD1,SV00440,4
LDD1,SV00442,5
LDD1,SV00443,6
LDD1,SV00444,7
LDD1,OP00188D,8
TDE1,SN00092D,1
TDE1,SN00243,2
TDE1,SW00750,3
TDE1,SW00764,4
TDE1,IP00121,5
TDE1,IP00116,6
TDE1,GR00333,7
TDE1,GR00147,8
RDE1,RD516966,1
RDE1,RD516381,2
RDE1,RD516331,3
RDE1,RD516604,4
RDE1,RD516762,5
RDE1,RD516457,6
RDE1,RD516142,7
RDE1,RD516470,8
RDE1,RD516940,9
RDE1,RD516261,10
RDE1,RD516A80,11
RDE1,RD516232,12
RDE1,RD516522,13
LDE1,BL00779,1
LDE1,BL00780,2
LDE1,BL00781,3
LDE1,SV00142,4
LDE1,SV00143,5
LDE1,SV10144,6
LDE1,SV10146,7
LDE1,OP00096,8
TDF1,SN00201,1
TDF1,SN00250,2
TDF1,SW00261,3
TDF1,SW02989,4
TDF1,IP00044,5
TDF1,IP00109,6
TDF1,GR00067,7
TDF1,GR00143,8
RDF1,RD516141,1
RDF1,RD516014,2
RDF1,RD516067,3
RDF1,RD516194,4
RDF1,RD516137,5
RDF1,RD516203,6
RDF1,RD516896,7
RDF1,RD516065,8
RDF1,RD516251,9
RDF1,RD516109,10
RDF1,RD516532,11
RDF1,RD516964,12
RDF1,RD516227,13
LDF1,BL00956D,1
LDF1,BL00958D,2
LDF1,BL00729,3
LDF1,SV00160D,4
LDF1,SV00162D,5
LDF1,SV00163D,6
LDF1,SV00164D,7
LDF1,OP00116B,8
SDA1,SC00200,1
SDA1,SC00201,2
SDA1,SC80202,3
SDA1,SC00114,4
SDA1,SC00115,5
SDA1,SC00117,6
SDA1,SC00118,7
SDA1,SC00119,8
SDA1,SC00120,9
SDA1,SC00149,10
SDA1,SC00150,11
SDA1,SC00154,12
SDA1,SC00155,13
SDA1,SC80157,14
SDA1,SC00158,15
SDA1,SC00160,16
SDA1,SC00161,17
SDA1,SC00174,18
SDA1,SC00175,19
SDA1,SC00177,20
RDG1,RD516494,1
RDG1,RD516764,2
RDG1,RD516418,3
RDG1,RD516A88,4
RDG1,RD516609,5
RDG1,RD516480,6
RDG1,RD516530,7
RDG1,RD516377,8
RDG1,RD516557,9
RDG1,RD516843,10
RDG1,RD516390,11
RDG1,RD516B14,12
RDG1,RD516417,13
RDG1,RD516360,14
RDG1,RD516567,15
RDG1,RD516839,16
RDG1,RD516478,17
RDG1,RD516398,18
RDG1,RD516A93,19
RDG1,RD516B23,20
LDG1,BL00389,1
LDG1,BL00390,2
LDG1,BL01392,3
LDG1,BL00393,4
LDG1,BL01472,5
LDG1,BL00470,6
LDG1,BL00471,7
LDG1,BL00473,8
LDG1,SV10128,9
LDG1,SV00129,10
LDG1,SV10130,11
LDG1,SV00131,12
LDG1,OP00255,13
LDG1,OP00139,14
LDG1,OP00199,15
