module_id,exit_min,exit_max,module_nbr,booklet_id
TDA1,15,NA,1,TDA1-TDC1-TDF1-TDI1
TDC1,29,NA,2,TDA1-TDC1-TDF1-TDI1
TDF1,48,NA,3,TDA1-TDC1-TDF1-TDI1
TDI1,0,NA,4,TDA1-TDC1-TDF1-TDI1
TDA1,15,NA,1,TDA1-TDC1-TDF1-TDH1
TDC1,29,NA,2,TDA1-TDC1-TDF1-TDH1
TDF1,37,47,3,TDA1-TDC1-TDF1-TDH1
TDH1,0,NA,4,TDA1-TDC1-TDF1-TDH1
TDA1,15,NA,1,TDA1-TDC1-TDF1-TDG1
TDC1,29,NA,2,TDA1-TDC1-TDF1-TDG1
TDF1,0,36,3,TDA1-TDC1-TDF1-TDG1
TDG1,0,NA,4,TDA1-TDC1-TDF1-TDG1
TDA1,15,NA,1,TDA1-TDC1-TDE1-TDI1
TDC1,24,28,2,TDA1-TDC1-TDE1-TDI1
TDE1,54,NA,3,TDA1-TDC1-TDE1-TDI1
TDI1,0,NA,4,TDA1-TDC1-TDE1-TDI1
TDA1,15,NA,1,TDA1-TDC1-TDE1-TDH1
TDC1,24,28,2,TDA1-TDC1-TDE1-TDH1
TDE1,43,53,3,TDA1-TDC1-TDE1-TDH1
TDH1,0,NA,4,TDA1-TDC1-TDE1-TDH1
TDA1,15,NA,1,TDA1-TDC1-TDE1-TDG1
TDC1,24,28,2,TDA1-TDC1-TDE1-TDG1
TDE1,0,42,3,TDA1-TDC1-TDE1-TDG1
TDG1,0,NA,4,TDA1-TDC1-TDE1-TDG1
TDA1,15,NA,1,TDA1-TDC1-TDD1-TDI1
TDC1,0,23,2,TDA1-TDC1-TDD1-TDI1
TDD1,60,NA,3,TDA1-TDC1-TDD1-TDI1
TDI1,0,NA,4,TDA1-TDC1-TDD1-TDI1
TDA1,15,NA,1,TDA1-TDC1-TDD1-TDH1
TDC1,0,23,2,TDA1-TDC1-TDD1-TDH1
TDD1,49,59,3,TDA1-TDC1-TDD1-TDH1
TDH1,0,NA,4,TDA1-TDC1-TDD1-TDH1
TDA1,15,NA,1,TDA1-TDC1-TDD1-TDG1
TDC1,0,23,2,TDA1-TDC1-TDD1-TDG1
TDD1,0,48,3,TDA1-TDC1-TDD1-TDG1
TDG1,0,NA,4,TDA1-TDC1-TDD1-TDG1
TDA1,0,14,1,TDA1-TDB1-TDF1-TDI1
TDB1,37,NA,2,TDA1-TDB1-TDF1-TDI1
TDF1,55,NA,3,TDA1-TDB1-TDF1-TDI1
TDI1,0,NA,4,TDA1-TDB1-TDF1-TDI1
TDA1,0,14,1,TDA1-TDB1-TDF1-TDH1
TDB1,37,NA,2,TDA1-TDB1-TDF1-TDH1
TDF1,44,54,3,TDA1-TDB1-TDF1-TDH1
TDH1,0,NA,4,TDA1-TDB1-TDF1-TDH1
TDA1,0,14,1,TDA1-TDB1-TDF1-TDG1
TDB1,37,NA,2,TDA1-TDB1-TDF1-TDG1
TDF1,0,43,3,TDA1-TDB1-TDF1-TDG1
TDG1,0,NA,4,TDA1-TDB1-TDF1-TDG1
TDA1,0,14,1,TDA1-TDB1-TDE1-TDI1
TDB1,31,36,2,TDA1-TDB1-TDE1-TDI1
TDE1,62,NA,3,TDA1-TDB1-TDE1-TDI1
TDI1,0,NA,4,TDA1-TDB1-TDE1-TDI1
TDA1,0,14,1,TDA1-TDB1-TDE1-TDH1
TDB1,31,36,2,TDA1-TDB1-TDE1-TDH1
TDE1,51,61,3,TDA1-TDB1-TDE1-TDH1
TDH1,0,NA,4,TDA1-TDB1-TDE1-TDH1
TDA1,0,14,1,TDA1-TDB1-TDE1-TDG1
TDB1,31,36,2,TDA1-TDB1-TDE1-TDG1
TDE1,0,50,3,TDA1-TDB1-TDE1-TDG1
TDG1,0,NA,4,TDA1-TDB1-TDE1-TDG1
TDA1,0,14,1,TDA1-TDB1-TDD1-TDI1
TDB1,0,30,2,TDA1-TDB1-TDD1-TDI1
TDD1,68,NA,3,TDA1-TDB1-TDD1-TDI1
TDI1,0,NA,4,TDA1-TDB1-TDD1-TDI1
TDA1,0,14,1,TDA1-TDB1-TDD1-TDH1
TDB1,0,30,2,TDA1-TDB1-TDD1-TDH1
TDD1,57,67,3,TDA1-TDB1-TDD1-TDH1
TDH1,0,NA,4,TDA1-TDB1-TDD1-TDH1
TDA1,0,14,1,TDA1-TDB1-TDD1-TDG1
TDB1,0,30,2,TDA1-TDB1-TDD1-TDG1
TDD1,0,56,3,TDA1-TDB1-TDD1-TDG1
TDG1,0,NA,4,TDA1-TDB1-TDD1-TDG1
RDA1,16,NA,1,RDA1-RDC1-RDF1-RDI1
RDC1,50,NA,2,RDA1-RDC1-RDF1-RDI1
RDF1,75,NA,3,RDA1-RDC1-RDF1-RDI1
RDI1,0,NA,4,RDA1-RDC1-RDF1-RDI1
RDA1,16,NA,1,RDA1-RDC1-RDF1-RDH1
RDC1,50,NA,2,RDA1-RDC1-RDF1-RDH1
RDF1,50,74,3,RDA1-RDC1-RDF1-RDH1
RDH1,0,NA,4,RDA1-RDC1-RDF1-RDH1
RDA1,16,NA,1,RDA1-RDC1-RDF1-RDG1
RDC1,50,NA,2,RDA1-RDC1-RDF1-RDG1
RDF1,0,49,3,RDA1-RDC1-RDF1-RDG1
RDG1,0,NA,4,RDA1-RDC1-RDF1-RDG1
RDA1,16,NA,1,RDA1-RDC1-RDE1-RDI1
RDC1,28,49,2,RDA1-RDC1-RDE1-RDI1
RDE1,94,NA,3,RDA1-RDC1-RDE1-RDI1
RDI1,0,NA,4,RDA1-RDC1-RDE1-RDI1
RDA1,16,NA,1,RDA1-RDC1-RDE1-RDH1
RDC1,28,49,2,RDA1-RDC1-RDE1-RDH1
RDE1,64,93,3,RDA1-RDC1-RDE1-RDH1
RDH1,0,NA,4,RDA1-RDC1-RDE1-RDH1
RDA1,16,NA,1,RDA1-RDC1-RDE1-RDG1
RDC1,28,49,2,RDA1-RDC1-RDE1-RDG1
RDE1,0,63,3,RDA1-RDC1-RDE1-RDG1
RDG1,0,NA,4,RDA1-RDC1-RDE1-RDG1
RDA1,16,NA,1,RDA1-RDC1-RDD1-RDI1
RDC1,0,27,2,RDA1-RDC1-RDD1-RDI1
RDD1,104,NA,3,RDA1-RDC1-RDD1-RDI1
RDI1,0,NA,4,RDA1-RDC1-RDD1-RDI1
RDA1,16,NA,1,RDA1-RDC1-RDD1-RDH1
RDC1,0,27,2,RDA1-RDC1-RDD1-RDH1
RDD1,82,103,3,RDA1-RDC1-RDD1-RDH1
RDH1,0,NA,4,RDA1-RDC1-RDD1-RDH1
RDA1,16,NA,1,RDA1-RDC1-RDD1-RDG1
RDC1,0,27,2,RDA1-RDC1-RDD1-RDG1
RDD1,0,81,3,RDA1-RDC1-RDD1-RDG1
RDG1,0,NA,4,RDA1-RDC1-RDD1-RDG1
RDA1,0,15,1,RDA1-RDB1-RDF1-RDI1
RDB1,62,NA,2,RDA1-RDB1-RDF1-RDI1
RDF1,87,NA,3,RDA1-RDB1-RDF1-RDI1
RDI1,0,NA,4,RDA1-RDB1-RDF1-RDI1
RDA1,0,15,1,RDA1-RDB1-RDF1-RDH1
RDB1,62,NA,2,RDA1-RDB1-RDF1-RDH1
RDF1,67,86,3,RDA1-RDB1-RDF1-RDH1
RDH1,0,NA,4,RDA1-RDB1-RDF1-RDH1
RDA1,0,15,1,RDA1-RDB1-RDF1-RDG1
RDB1,62,NA,2,RDA1-RDB1-RDF1-RDG1
RDF1,0,66,3,RDA1-RDB1-RDF1-RDG1
RDG1,0,NA,4,RDA1-RDB1-RDF1-RDG1
RDA1,0,15,1,RDA1-RDB1-RDE1-RDI1
RDB1,46,61,2,RDA1-RDB1-RDE1-RDI1
RDE1,106,NA,3,RDA1-RDB1-RDE1-RDI1
RDI1,0,NA,4,RDA1-RDB1-RDE1-RDI1
RDA1,0,15,1,RDA1-RDB1-RDE1-RDH1
RDB1,46,61,2,RDA1-RDB1-RDE1-RDH1
RDE1,81,105,3,RDA1-RDB1-RDE1-RDH1
RDH1,0,NA,4,RDA1-RDB1-RDE1-RDH1
RDA1,0,15,1,RDA1-RDB1-RDE1-RDG1
RDB1,46,61,2,RDA1-RDB1-RDE1-RDG1
RDE1,0,80,3,RDA1-RDB1-RDE1-RDG1
RDG1,0,NA,4,RDA1-RDB1-RDE1-RDG1
RDA1,0,15,1,RDA1-RDB1-RDD1-RDI1
RDB1,0,45,2,RDA1-RDB1-RDD1-RDI1
RDD1,116,NA,3,RDA1-RDB1-RDD1-RDI1
RDI1,0,NA,4,RDA1-RDB1-RDD1-RDI1
RDA1,0,15,1,RDA1-RDB1-RDD1-RDH1
RDB1,0,45,2,RDA1-RDB1-RDD1-RDH1
RDD1,99,115,3,RDA1-RDB1-RDD1-RDH1
RDH1,0,NA,4,RDA1-RDB1-RDD1-RDH1
RDA1,0,15,1,RDA1-RDB1-RDD1-RDG1
RDB1,0,45,2,RDA1-RDB1-RDD1-RDG1
RDD1,0,98,3,RDA1-RDB1-RDD1-RDG1
RDG1,0,NA,4,RDA1-RDB1-RDD1-RDG1
LDA1,28,NA,1,LDA1-LDC1-LDF1-LDI1
LDC1,43,NA,2,LDA1-LDC1-LDF1-LDI1
LDF1,65,NA,3,LDA1-LDC1-LDF1-LDI1
LDI1,0,NA,4,LDA1-LDC1-LDF1-LDI1
LDA1,28,NA,1,LDA1-LDC1-LDF1-LDH1
LDC1,43,NA,2,LDA1-LDC1-LDF1-LDH1
LDF1,39,64,3,LDA1-LDC1-LDF1-LDH1
LDH1,0,NA,4,LDA1-LDC1-LDF1-LDH1
LDA1,28,NA,1,LDA1-LDC1-LDF1-LDG1
LDC1,43,NA,2,LDA1-LDC1-LDF1-LDG1
LDF1,0,38,3,LDA1-LDC1-LDF1-LDG1
LDG1,0,NA,4,LDA1-LDC1-LDF1-LDG1
LDA1,28,NA,1,LDA1-LDC1-LDE1-LDI1
LDC1,30,42,2,LDA1-LDC1-LDE1-LDI1
LDE1,74,NA,3,LDA1-LDC1-LDE1-LDI1
LDI1,0,NA,4,LDA1-LDC1-LDE1-LDI1
LDA1,28,NA,1,LDA1-LDC1-LDE1-LDH1
LDC1,30,42,2,LDA1-LDC1-LDE1-LDH1
LDE1,47,73,3,LDA1-LDC1-LDE1-LDH1
LDH1,0,NA,4,LDA1-LDC1-LDE1-LDH1
LDA1,28,NA,1,LDA1-LDC1-LDE1-LDG1
LDC1,30,42,2,LDA1-LDC1-LDE1-LDG1
LDE1,0,46,3,LDA1-LDC1-LDE1-LDG1
LDG1,0,NA,4,LDA1-LDC1-LDE1-LDG1
LDA1,28,NA,1,LDA1-LDC1-LDD1-LDI1
LDC1,0,29,2,LDA1-LDC1-LDD1-LDI1
LDD1,83,NA,3,LDA1-LDC1-LDD1-LDI1
LDI1,0,NA,4,LDA1-LDC1-LDD1-LDI1
LDA1,28,NA,1,LDA1-LDC1-LDD1-LDH1
LDC1,0,29,2,LDA1-LDC1-LDD1-LDH1
LDD1,59,82,3,LDA1-LDC1-LDD1-LDH1
LDH1,0,NA,4,LDA1-LDC1-LDD1-LDH1
LDA1,28,NA,1,LDA1-LDC1-LDD1-LDG1
LDC1,0,29,2,LDA1-LDC1-LDD1-LDG1
LDD1,0,58,3,LDA1-LDC1-LDD1-LDG1
LDG1,0,NA,4,LDA1-LDC1-LDD1-LDG1
LDA1,0,27,1,LDA1-LDB1-LDF1-LDI1
LDB1,51,NA,2,LDA1-LDB1-LDF1-LDI1
LDF1,72,NA,3,LDA1-LDB1-LDF1-LDI1
LDI1,0,NA,4,LDA1-LDB1-LDF1-LDI1
LDA1,0,27,1,LDA1-LDB1-LDF1-LDH1
LDB1,51,NA,2,LDA1-LDB1-LDF1-LDH1
LDF1,45,71,3,LDA1-LDB1-LDF1-LDH1
LDH1,0,NA,4,LDA1-LDB1-LDF1-LDH1
LDA1,0,27,1,LDA1-LDB1-LDF1-LDG1
LDB1,51,NA,2,LDA1-LDB1-LDF1-LDG1
LDF1,0,44,3,LDA1-LDB1-LDF1-LDG1
LDG1,0,NA,4,LDA1-LDB1-LDF1-LDG1
LDA1,0,27,1,LDA1-LDB1-LDE1-LDI1
LDB1,35,50,2,LDA1-LDB1-LDE1-LDI1
LDE1,82,NA,3,LDA1-LDB1-LDE1-LDI1
LDI1,0,NA,4,LDA1-LDB1-LDE1-LDI1
LDA1,0,27,1,LDA1-LDB1-LDE1-LDH1
LDB1,35,50,2,LDA1-LDB1-LDE1-LDH1
LDE1,53,81,3,LDA1-LDB1-LDE1-LDH1
LDH1,0,NA,4,LDA1-LDB1-LDE1-LDH1
LDA1,0,27,1,LDA1-LDB1-LDE1-LDG1
LDB1,35,50,2,LDA1-LDB1-LDE1-LDG1
LDE1,0,52,3,LDA1-LDB1-LDE1-LDG1
LDG1,0,NA,4,LDA1-LDB1-LDE1-LDG1
LDA1,0,27,1,LDA1-LDB1-LDD1-LDI1
LDB1,0,34,2,LDA1-LDB1-LDD1-LDI1
LDD1,91,NA,3,LDA1-LDB1-LDD1-LDI1
LDI1,0,NA,4,LDA1-LDB1-LDD1-LDI1
LDA1,0,27,1,LDA1-LDB1-LDD1-LDH1
LDB1,0,34,2,LDA1-LDB1-LDD1-LDH1
LDD1,64,90,3,LDA1-LDB1-LDD1-LDH1
LDH1,0,NA,4,LDA1-LDB1-LDD1-LDH1
LDA1,0,27,1,LDA1-LDB1-LDD1-LDG1
LDB1,0,34,2,LDA1-LDB1-LDD1-LDG1
LDD1,0,63,3,LDA1-LDB1-LDD1-LDG1
LDG1,0,NA,4,LDA1-LDB1-LDD1-LDG1
SDA1,0,NA,1,SDA1
WDA1,0,NA,1,WDA1-WDC1-WDF1
WDC1,0,NA,2,WDA1-WDC1-WDF1
WDF1,0,NA,3,WDA1-WDC1-WDF1
